Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance
2/1/2015,26.38186455,26.6932358,26.29866434,26480000,,26.38186455,,0,0,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
5/1/2015,25.87918472,26.30414452,25.79399474,41182000,,26.33399028,,-0.040099815,-0.008019963,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
6/1/2015,25.24050331,25.96637048,25.18619958,54456000,,26.22984866,,-0.122009016,-0.030817774,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
7/1/2015,25.16627121,25.48212566,25.09154325,46918000,,26.12855557,,-0.190714124,-0.062797044,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
8/1/2015,25.25395393,25.28334644,24.66159976,73054000,,26.04526018,,-0.235374899,-0.097312615,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
9/1/2015,24.94556999,25.33814788,24.84244537,42000000,,25.94052778,,-0.292283628,-0.136306817,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
12/1/2015,24.76323128,24.92364904,24.45684114,57138000,,25.8284043,,-0.348084909,-0.178662436,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
13/1/2015,24.99937439,25.33814645,24.77319503,60958000,,25.74944907,,-0.368999456,-0.21672984,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
14/1/2015,25.20512772,25.32120777,24.81803267,52800000,,25.69760894,,-0.364767004,-0.246337272,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
15/1/2015,25.10947609,25.3954382,25.00983691,51068000,,25.64159629,,-0.36492442,-0.270054702,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
16/1/2015,25.43081093,25.45023932,25.0636403,49658000,,25.62152149,,-0.335255521,-0.283094866,203.4700012,2.50067E+12,N/A,N/A,,"Ticker
GOOGL    24.456841
dtype: float64 - Ticker
GOOGL    201.419998
dtype: float64",,,
