Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance
2/1/2015,24.34717178,24.81705696,23.90623626,212818400,,24.34717178,,0,0,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
5/1/2015,23.66127586,24.19574267,23.47421342,257142000,,24.28184836,,-0.054715344,-0.010943069,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
6/1/2015,23.66349983,23.92405179,23.30050699,263188400,,24.22295803,,-0.096782544,-0.028110964,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
7/1/2015,23.99531746,24.09552924,23.7614877,160423600,,24.20127797,,-0.102168459,-0.042922463,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
8/1/2015,24.91726875,24.97516976,24.20687329,237458000,,24.26946757,,-0.031677908,-0.040673552,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
9/1/2015,24.9439888,25.22012925,24.54313838,214798000,,24.33370769,,0.026042247,-0.027330392,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
12/1/2015,24.32935715,25.08206342,24.22914537,198603200,,24.33329335,,0.021937368,-0.01747684,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
13/1/2015,24.54537392,25.1199258,24.25364483,268367600,,24.3534915,,0.035703403,-0.006840791,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
14/1/2015,24.45183372,24.60549163,24.16233047,195826400,,24.36285743,,0.038619986,0.002251364,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
15/1/2015,23.78820992,24.50973912,23.7525797,240056000,,24.30812909,,-0.012473707,-0.00069365,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
16/1/2015,23.60337257,23.95745746,23.42744384,314053200,,24.24100942,,-0.067107087,-0.013976337,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
20/1/2015,24.21133041,24.267004,23.71694868,199599600,,24.23818285,,-0.060648202,-0.02331071,242.7207031,3.6506E+12,N/A,N/A,,"Ticker
AAPL    20.497948
dtype: float64 - Ticker
AAPL    260.100006
dtype: float64",,,
