Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance
2/1/2015,78.15146637,78.62964314,77.40432039,18177500,,78.15146637,,0,0,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
5/1/2015,76.89626312,78.94842155,76.56751708,26452200,,78.0319232,,-0.100130174,-0.020026035,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
6/1/2015,75.86022186,77.29473695,75.0732272,27399300,,77.8250945,,-0.260085821,-0.068037992,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
7/1/2015,75.86022186,77.06561644,75.53147581,22045300,,77.63796378,,-0.382443256,-0.130919045,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
8/1/2015,77.88249969,77.93231247,75.79049241,23961000,,77.66125291,,-0.312627708,-0.167260777,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
9/1/2015,77.44416809,78.32082423,76.90622208,21157000,,77.64057817,,-0.289332831,-0.191675188,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
12/1/2015,76.42805481,77.70318275,75.91999341,19190200,,77.52509975,,-0.348842088,-0.223108568,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
13/1/2015,76.15907288,77.78287491,75.56135765,25179600,,77.39500195,,-0.41294799,-0.261076453,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
14/1/2015,75.98972321,76.90622042,75.74067455,25918600,,77.26116588,,-0.471976827,-0.303256528,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
15/1/2015,73.76821899,76.27862624,73.26015758,34134000,,76.92850427,,-0.69005985,-0.380617192,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
16/1/2015,74.89391327,75.03337991,73.5590085,21791500,,76.7347337,,-0.763259713,-0.457145696,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
20/1/2015,75.94987488,76.0196082,74.53528036,22821600,,76.65998524,,-0.727675663,-0.51125169,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
21/1/2015,76.44796753,77.00584164,75.56135499,25096700,,76.63979308,,-0.651769935,-0.539355339,699.7999878,1.77306E+12,N/A,N/A,,"Ticker
META    71.726011
dtype: float64 - Ticker
META    637.885465
dtype: float64",,,
