Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
2/1/2015,4726.810059,4777.009766,4698.109863,1435150000,,4726.810059,,0,0,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.00%,100%,2%
5/1/2015,4652.569824,4702.77002,4641.459961,1794470000,,4719.73956,,-5.922297899,-1.18445958,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.57%,98%,1%
6/1/2015,4592.740234,4667.330078,4567.589844,2167320000,,4707.644386,,-15.26751512,-4.001070689,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.29%,97%,2%
7/1/2015,4650.470215,4652.720215,4613.899902,1957950000,,4702.199227,,-17.81003713,-6.762863977,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.26%,98%,1%
8/1/2015,4736.189941,4741.379883,4688.02002,2105450000,,4705.436438,,-12.7610373,-7.962498641,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.84%,100%,1%
9/1/2015,4704.069824,4744.709961,4681.240234,1715830000,,4705.306284,,-11.22213182,-8.614425277,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.68%,100%,1%
12/1/2015,4664.709961,4715.810059,4650.649902,1861960000,,4701.439968,,-13.02836726,-9.497213673,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.84%,99%,1%
13/1/2015,4661.5,4751.339844,4624.279785,2162180000,,4697.636161,,-14.55110282,-10.5079915,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.07%,99%,3%
14/1/2015,4639.319824,4655.370117,4595.97998,2073810000,,4692.082224,,-17.34766348,-11.8759259,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.48%,98%,1%
15/1/2015,4570.819824,4663.959961,4567.390137,1976260000,,4680.533424,,-24.80539433,-14.46181958,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.48%,97%,2%
16/1/2015,4634.379883,4635.819824,4563.109863,1970520000,,4676.137849,,-25.29534522,-16.62852471,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.39%,98%,2%
20/1/2015,4654.850098,4665.649902,4601.100098,1835040000,,4674.110444,,-23.75799223,-18.05441822,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.44%,98%,1%
21/1/2015,4667.419922,4692.459961,4629.589844,1847420000,,4673.473252,,-21.28004602,-18.69954378,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.27%,99%,1%
22/1/2015,4750.399902,4752.600098,4644.569824,1996550000,,4680.799599,51.89485872,-12.4766419,-17.4549634,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.78%,100%,2%
23/1/2015,4757.879883,4771.180176,4737.950195,1653830000,,4688.140579,52.46605593,-4.840510413,-14.9320728,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.16%,101%,1%
26/1/2015,4771.759766,4774.180176,4734.200195,1717510000,,4696.104311,60.46279572,2.304603319,-11.48473758,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.29%,101%,1%
27/1/2015,4681.5,4721.870117,4659.830078,1954160000,,4694.713424,57.39640637,0.676154389,-9.052559185,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.89%,99%,1%
28/1/2015,4637.990234,4742.060059,4637.47998,2118680000,,4689.311215,48.93479045,-4.078265869,-8.057700522,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.93%,98%,2%
29/1/2015,4683.410156,4688.410156,4601.759766,2110710000,,4688.74921,45.16225184,-4.133521411,-7.2728647,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.98%,99%,2%
30/1/2015,4635.240234,4703.810059,4631.100098,2264230000,4673.701489,4683.653117,43.87145636,-7.972321983,-7.412756157,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.03%,98%,2%
2/2/2015,4676.689941,4676.689941,4580.459961,2006450000,4671.195483,4682.989957,51.06273493,-7.582547261,-7.446714377,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.89%,99%,2%
3/2/2015,4727.740234,4727.740234,4670.819824,2153520000,4674.954004,4687.251888,55.41639051,-3.118369367,-6.581045375,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.09%,100%,1%
4/2/2015,4716.700195,4744.330078,4697.790039,2212960000,4681.152002,4690.056489,56.44471917,-0.465943998,-5.3580251,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.23%,100%,1%
5/2/2015,4765.100098,4767.379883,4722.799805,2036590000,4686.883496,4697.203499,66.74139338,5.47843782,-3.190732516,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.03%,101%,1%
6/2/2015,4744.399902,4787.180176,4731.220215,2034060000,4687.293994,4701.698395,60.23671736,8.42198705,-0.868188603,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.43%,100%,1%
9/2/2015,4726.009766,4749.470215,4719.609863,1654680000,4688.390991,4704.013764,56.64671762,9.165190076,1.138487133,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.39%,100%,1%
10/2/2015,4787.640137,4793.27002,4737.120117,1773730000,4694.5375,4711.97818,60.28648804,14.55940792,3.82267129,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.30%,101%,1%
11/2/2015,4801.180176,4810.359863,4780.129883,1793630000,4701.521509,4720.473608,54.93089035,19.69984487,6.998106005,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.28%,102%,1%
12/2/2015,4857.609863,4857.609863,4823.569824,2075470000,4712.436011,4733.534204,58.84335451,28.00426661,11.19933813,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.18%,103%,1%
