Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
2/1/2015,2058.199951,2072.360107,2046.040039,2708700000,,2058.199951,,0,0,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,0.00%,100%,1%
5/1/2015,2020.579956,2054.439941,2017.339966,3799120000,,2054.617094,,-3.001025252,-0.60020505,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-1.83%,98%,2%
6/1/2015,2002.609985,2030.25,1992.439941,4460110000,,2049.664036,,-6.75155808,-1.830475656,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.89%,97%,2%
7/1/2015,2025.900024,2029.609985,2005.550049,3805480000,,2047.400797,,-7.75517404,-3.015415333,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,1.16%,98%,1%
8/1/2015,2062.139893,2064.080078,2030.609985,3934010000,,2048.804521,,-5.562175134,-3.524767293,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,1.79%,100%,2%
9/1/2015,2044.810059,2064.429932,2038.329956,3364140000,,2048.424096,,-5.163063886,-3.852426612,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.84%,99%,1%
12/1/2015,2028.26001,2049.300049,2022.579956,3456460000,,2046.503707,,-6.111763369,-4.304293963,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.81%,99%,1%
13/1/2015,2023.030029,2056.929932,2008.25,4107300000,,2044.268118,,-7.202603134,-4.883955797,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.26%,98%,2%
14/1/2015,2011.27002,2018.400024,1988.439941,4378680000,,2041.125442,,-8.913289163,-5.68982247,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.58%,98%,1%
15/1/2015,1992.670044,2021.349976,1991.469971,4276720000,,2036.510642,,-11.63575303,-6.879008582,6025.990234,N/A,N/A,N/A,,"Ticker
^GSPC    1810.099976
dtype: float64 - Ticker
^GSPC    6099.970215
dtype: float64",,,,-0.92%,97%,1%
