Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance
2/1/2015,14.62066746,14.88333321,14.21733284,71466000,,14.62066746,,0,0,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
5/1/2015,14.00599957,14.4333334,13.81066704,80527500,,14.56212766,,-0.049033336,-0.009806667,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
6/1/2015,14.08533287,14.27999973,13.61400032,93928500,,14.51671863,,-0.0805624,-0.023957814,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
7/1/2015,14.06333256,14.31866741,13.98533344,44526000,,14.473539,,-0.106101579,-0.040386567,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
8/1/2015,14.0413332,14.25333309,14.00066662,51637500,,14.43237655,,-0.126656707,-0.057640595,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
9/1/2015,13.77733326,13.99866676,13.66399956,70024500,,14.36999147,,-0.162377595,-0.078587995,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
12/1/2015,13.48066711,13.63133335,13.28333282,89254500,,14.28529391,,-0.212179265,-0.105306249,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
13/1/2015,13.61666679,13.84066677,13.39400005,67159500,,14.22161514,,-0.237930692,-0.131831138,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
14/1/2015,12.84599972,13.01333332,12.33333302,173278500,,14.09060415,,-0.316872566,-0.168839423,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
15/1/2015,12.7913332,13.05000019,12.66666698,78247500,,13.96686406,,-0.379471391,-0.210965817,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
16/1/2015,12.87133312,12.9659996,12.64333344,54048000,,13.86252778,,-0.417809834,-0.25233462,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
20/1/2015,12.79533291,12.94133282,12.4693327,67548000,,13.76089017,,-0.449148406,-0.291697377,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
21/1/2015,13.10466671,13.24533272,12.63399982,62295000,,13.6983927,,-0.443906716,-0.322139245,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
22/1/2015,13.44133282,13.54933262,13.01333332,61753500,,13.67391081,30.74241452,-0.407884658,-0.339288328,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
23/1/2015,13.41933346,13.5666666,13.22200012,51579000,,13.64966534,30.52311702,-0.376768924,-0.346784447,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
26/1/2015,13.77000046,13.90799999,13.40333271,48517500,,13.66112583,45.8156168,-0.320123401,-0.341452238,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
27/1/2015,13.73200035,13.86866665,13.55333328,41715000,,13.66787579,43.64204662,-0.275126223,-0.328187035,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
28/1/2015,13.2913332,13.75800037,13.22799969,47244000,,13.63201459,37.92744596,-0.271889618,-0.316927552,411.7067871,1.32426E+12,N/A,N/A,,"Ticker
TSLA    9.403333
dtype: float64 - Ticker
TSLA    488.540009
dtype: float64",,,
